item,unix_timestamp,value,activity_label,location_label
Current_Usage,1563960931000,28534.29,activity_eating_drinking,kitchen_location_table
Ktch_Motion_2,1563960934000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_2,1563960943000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563960971000,OFF,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563960971000,OFF,activity_eating_drinking,kitchen_location_table
Ktch_Motion_1,1563960990000,ON,activity_eating_drinking,kitchen_location_table
DgRm_Motion_2,1563960993000,ON,activity_eating_drinking,kitchen_location_table
Ktch_Motion_2,1563961058000,ON,TRA,TRA
DgRm_Motion_2,1563961069000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
Ktch_Motion_2,1563961069000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
Ktch_Motion_1,1563961090000,OFF,activity_wash_dishes,kitchen_location_worktop_sink
Ktch_Motion_1,1563961102000,ON,activity_wash_dishes,kitchen_location_worktop_sink
DgRm_Motion_2,1563961113000,ON,activity_wash_dishes,kitchen_location_worktop_sink
Ktch_Motion_2,1563961114000,ON,TRA,TRA
DgRm_Motion_1,1563961117000,ON,TRA,TRA
BdRm_Motion_2,1563961124000,ON,TRA,TRA
BdRm_Motion_1,1563961125000,ON,TRA,TRA
Ktch_Motion_1,1563961125000,OFF,TRA,TRA
Ktch_Motion_2,1563961126000,OFF,TRA,TRA
DgRm_Motion_2,1563961129000,OFF,TRA,TRA
DgRm_Motion_1,1563961133000,OFF,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563961136000,OFF,activity_dressing,bedroom_location_wardrobe
BdRm_Motion_2,1563961168000,ON,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563961180000,OFF,activity_dressing,bedroom_location_drawers
BdRm_Motion_2,1563961189000,ON,TRA,TRA
BdRm_Tch_5,1563961193000,ON,TRA,TRA
BdRm_Tch_5,1563961194000,OFF,TRA,TRA
Bedroom_blind,1563961195000,8.0,TRA,TRA
Bedroom_blind,1563961197000,18.0,TRA,TRA
Bedroom_blind,1563961199000,28.0,TRA,TRA
Bedroom_blind,1563961201000,38.0,TRA,TRA
Bedroom_blind,1563961203000,48.0,TRA,TRA
Bedroom_blind,1563961204000,53.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563961206000,63.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563961208000,73.0,activity_sleeping,bedroom_location_bed
BdRm_Motion_1,1563961209000,OFF,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563961210000,83.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563961212000,93.0,activity_sleeping,bedroom_location_bed
Bedroom_blind,1563961213000,100.0,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563961215000,OFF,activity_sleeping,bedroom_location_bed
BdRm_Motion_2,1563961235000,ON,TRA,TRA
BdRm_Motion_1,1563961238000,ON,TRA,TRA
BhRm_Motion_1,1563961242000,ON,TRA,TRA
